,Main_Mass_Flow,Additive_1_Ratio,Additive_2_Ratio,Additive_3_Ratio,Additive_4_Ratio,Additive_5_Ratio,Additive_6_Ratio,Flow_Gas_Ratio,T_Zone_1,T_Zone_2,T_Zone_3,T_Zone_4,T_Zone_5,T_Zone_6,T_Zone_7,T_Zone_8,T_Zone_9,T_Zone_10,Blending,Quality,T_Increase_1,T_Increase_2,T_Increase_3,T_Increase_4,T_Increase_5,T_Increase_6,T_Increase_7,T_Increase_8,T_Increase_9
778,20035.16015625,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.9862494468689,197.9798583984375,188.538619995117,185.409637451172,172.815673828125,172.585998535156,176.882247924805,171.368988037109,177.64183044433602,178.975021362305,166.078521728516,28.0,45.3,0,0,0,0,1,0,1,1,0
779,20024.08984375,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.01111936569214,197.9798583984375,188.416351318359,185.788192749023,173.164352416992,172.967559814453,177.711334228516,172.153503417969,178.154602050781,179.468078613281,166.675216674805,28.0,45.045,0,0,0,0,1,0,1,1,0
780,20020.47265625,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.0287630558013903,197.9798583984375,188.302795410156,186.793991088867,173.728790283203,175.069244384766,178.98425292968798,172.880767822266,178.89208984375,179.81872558593798,166.70925903320298,28.0,44.79,0,0,0,1,1,0,1,1,0
781,20051.205078125,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.98832106590271,197.9798583984375,188.373336791992,187.580078125,173.895904541016,175.033096313477,178.815002441406,173.026611328125,178.683441162109,180.467178344727,167.627624511719,28.0,44.5,0,0,0,1,1,0,1,1,0
782,20033.04296875,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.99202561378479,197.9798583984375,188.449783325195,186.937698364258,173.83740234375,173.437805175781,178.24534606933602,172.436340332031,178.550369262695,180.461517333984,167.61941528320298,28.0,44.21,0,0,0,0,1,0,1,1,0
783,20024.955078125,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.0091936588287402,197.9798583984375,188.212799072266,187.819396972656,174.408737182617,175.51170349121102,179.909820556641,174.027801513672,179.44563293457,181.510452270508,169.644180297852,28.0,43.92,0,0,0,1,1,0,1,1,0
784,20028.962890625,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.00242781639099,197.9798583984375,188.61351013183602,187.950057983398,174.994903564453,173.872009277344,178.476715087891,172.382858276367,178.376617431641,180.006195068359,168.711669921875,28.0,43.63,0,0,0,0,1,0,1,1,0
785,20031.4140625,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.99024701118469,197.9798583984375,188.453094482422,187.851470947266,174.495330810547,173.67497253418,178.605285644531,172.763381958008,179.27380371093798,181.182235717773,168.472885131836,28.0,43.96,0,0,0,0,1,0,1,1,0
786,20034.431640625,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.0024783611297594,197.9798583984375,188.336242675781,187.89381408691398,174.77424621582,174.44895935058602,179.128479003906,173.591217041016,179.876617431641,181.827713012695,169.88232421875,28.0,44.29,0,0,0,0,1,0,1,1,0
787,20054.005859375,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.01225614547729,197.9798583984375,188.473251342773,187.87483215332,174.465530395508,174.249465942383,178.701797485352,172.766082763672,178.854705810547,180.938995361328,169.25045776367202,28.0,44.62,0,0,0,0,1,0,1,1,0
