"","Date.Time","Main_Mass_Flow","Additive_1_Ratio","Additive_2_Ratio","Additive_3_Ratio","Additive_4_Ratio","Additive_5_Ratio","Additive_6_Ratio","Flow_Gas_Ratio","Pressure","T_Zone_1","T_Zone_2","T_Zone_3","T_Zone_4","T_Zone_5","T_Zone_6","T_Zone_7","T_Zone_8","T_Zone_9","T_Zone_10","Blending","Quality"
"1245911",2017-03-27 14:30:00,19759.0703125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10943341255188,0,199.112670898438,189.729217529297,196.189758300781,175.30908203125,178.097091674805,180.92236328125,173.461639404297,180.478607177734,183.000045776367,177.534225463867,28,48.19
"1246411",2017-03-27 15:20:00,20039.953125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.08875370025635,0,198.822204589844,189.493362426758,196.076217651367,175.171295166016,178.42121887207,180.646270751953,173.506362915039,179.78498840332,182.167922973633,177.762680053711,28,46.625
"1246941",2017-03-27 16:13:00,20039.3359375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.09929156303406,0,199.290023803711,189.337844848633,196.017364501953,174.950881958008,175.915664672852,178.554489135742,171.499282836914,178.938003540039,181.928466796875,177.209381103516,28,45.06
"1247521",2017-03-27 17:11:00,20017.169921875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.09478950500488,0,196.906539916992,189.625076293945,196.20458984375,175.222579956055,176.988906860352,179.005340576172,172.207260131836,178.891876220703,181.916915893555,177.417999267578,28,45.52
"1248171",2017-03-27 18:16:00,20055.2109375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.11195421218872,0,197.223129272461,189.598526000977,195.81689453125,174.968383789062,177.305435180664,179.672927856445,172.542266845703,179.100021362305,182.200256347656,176.518905639648,28,45.98
"1248781",2017-03-27 19:17:00,20046.228515625,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10412263870239,0,197.282928466797,189.607467651367,195.916931152344,174.644378662109,177.182632446289,179.682388305664,172.528793334961,178.749969482422,181.241271972656,176.150802612305,28,46.44
"1249391",2017-03-27 20:18:00,20053.689453125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.11698627471924,0,197.374450683594,189.706237792969,196.100448608398,174.498336791992,176.54460144043,178.691787719727,171.577621459961,178.429748535156,180.922058105469,174.322875976562,28,46.9
"1250031",2017-03-27 21:22:00,20053.9921875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10836791992188,0,197.221969604492,189.805755615234,196.013519287109,174.721817016602,175.845764160156,178.414901733398,171.136688232422,178.362213134766,181.391067504883,174.754257202148,28,46.6725
"1250651",2017-03-27 22:24:00,20049.943359375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.11372494697571,0,197.190521240234,189.480728149414,195.964218139648,174.575592041016,176.104125976562,178.294250488281,171.606643676758,178.625610351562,181.358627319336,174.865081787109,28,46.445
"1251281",2017-03-27 23:27:00,20059.486328125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10068655014038,0,197.226547241211,189.450088500977,195.846420288086,174.214141845703,176.147216796875,178.848617553711,171.770935058594,178.620910644531,181.22900390625,174.706832885742,28,46.2175
